3001 TALL TREE LN	UNINCORPORATED	35005	FORESTDALE FD	FORESTDALE_FD	418	ADAMSVILLE FD | GRAYSVILLE FD | BROOKSIDE FD | MINOR FD
3001 TERESA AVE	HUEYTOWN	35023	HUEYTOWN FD	HUEYTOWN_FD	492	BESSEMER FD | CONCORD FD | BRIGHTON FD | PLEASANT GROVE FD
3001 TERESA DR	FULTONDALE	35217	FULT ST	FULT_ST1	435	FULTONDALE FD | GARDENDALE FD | CENTER POINT FD | TARRANT FD
3001 THEODORIA AVE	LIPSCOMB	35020	LIPSCOMB FD	LIPSCOMB_FD	490	BESSEMER FD | BIRMINGHAM FD | BRIGHTON FD | MIDFIELD FD
3001 TOM WILLIAMS WAY	IRONDALE	35210	IRONDALE FD	IRONDALE_FD	465	REX LAKE FD | VESTAVIA HILLS FD | BIRMINGHAM FD | MOUNTAIN BROOK FD
3001 TREE CROSSING PKWY	HOOVER	35244	HOOVER FD	HOOVER_FD	487	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
3001 TWIN OAKS DR	VESTAVIA HILLS	35243	VESTAVIA FD	VESTAVIA_FD	466	VESTAVIA HILLS FD | ROCKY RIDGE FD | MOUNTAIN BROOK FD | BIRMINGHAM FD
3001 WALKER CHAPEL RD	FULTONDALE	35068	FULT ST	FULT_ST2	421	FULTONDALE FD | GARDENDALE FD | BIRMINGHAM FD | CENTER POINT FD
3001 WALLACE DR SE	BESSEMER	35022	BESSEMER FD	BESSEMER_FD	487	EASTERN VALLEY FD | MCADORY FD | HOOVER FD | INDIAN FORD FD
3001 WARE RD	UNINCORPORATED	35062	CORNER FD/BAGLEY (AUTOMATIC AID)	CORNER/BAGLEY AA	423	MT. OLIVE FD | CANE CREEK FD | GRAYSVILLE FD | WARRIOR FD
